,n_stars,n_planets,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temp_k,orbital_eccentricity,semi_major_axis_au,star_temp_k,star_radius_sun,star_mass_sun,star_age_gyr,star_surface_gravity,star_metallicity,dist_from_earth_pc,star_vmag,ra,dec,planet_type,habitable_zone_flag,multi_planet_system,dist_category,star_type,orbital_period_cat
4096,1,1,24.3556,14.2,177.9848,486.0,0.05,0.15,4976.0,0.74,0.66,2.09,4.51,0.03,19.6359,7.79,303.4990864,-0.8657574,Gas Giant,False,False,Nearby(<100pc),K-type,Medium(10-100d)
4097,1,1,11.2365985,13.11450742,392.20025424,1252.0,0.46,0.1041,6295.0,1.28,1.181,2.92,4.291,0.0,141.812,9.822,144.1193594,-50.4630933,Gas Giant,False,False,Mid(100-500pc),F-type,Medium(10-100d)
4098,1,1,482.0,12.4,3378.5329,,0.11,1.28,4218.0,41.01,3.7,5.5,1.78,-0.18,676.579,8.15,164.8961152,43.8144094,Gas Giant,False,False,Far(500-2kpc),K-type,Very-Long(365d+)
4099,1,1,148.60001,13.8,333.7215,,0.38,0.61,4639.0,9.83,0.81,3.8,2.36,-0.17,376.233,9.229,343.2665641,44.4777303,Gas Giant,False,False,Mid(100-500pc),K-type,Long(100-365d)
4100,1,1,442.19,13.6,410.0007,,0.48,1.13,5538.0,1.07,1.01,12.0,4.38,0.22,21.2985,6.54348,332.3748117,-7.5505962,Gas Giant,False,False,Nearby(<100pc),G-type(Sun-like),Very-Long(365d+)
4101,2,3,4.617033,14.0,218.531,,0.0215,0.05922166,6156.77,1.56,1.3,5.0,4.125176,0.1014,13.4054,4.09565,24.1983534,41.4038147,Gas Giant,False,True,Nearby(<100pc),F-type,Short(1-10d)
4102,1,1,302.79999,12.7,1970.5361234,,0.14,0.92,6167.0,1.13,1.34,2.72,4.46,0.16,17.3181,5.4,40.6417178,-50.7993484,Gas Giant,False,False,Nearby(<100pc),F-type,Long(100-365d)
4103,1,1,5.879577,1.77,4.9,511.0,,,3697.0,0.48,0.482,,4.61,-0.24,28.384,12.214,16.9688462,12.8809549,Mini-Neptune,False,False,Nearby(<100pc),M-type(Red Dwarf),Short(1-10d)
4104,1,1,26.8199,2.55,7.04,507.0,,0.1567,5262.0,0.75,0.71,,4.54,-0.44,149.464,11.97,181.2386829,-6.8052985,Mini-Neptune,False,False,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
4105,1,1,653.21997,11.9,8714.85491994,,0.41,1.5,5870.0,1.03,1.09,2.32,4.45,0.11,33.3622,7.25,238.0735585,-18.4359716,Gas Giant,False,False,Nearby(<100pc),G-type(Sun-like),Very-Long(365d+)
4106,2,1,2.24571,14.2,162.0933,,0.0,0.03,6239.0,1.16,1.55,1.0,4.5,0.18,54.2304,7.76,336.8803957,-77.7183219,Gas Giant,False,False,Nearby(<100pc),F-type,Short(1-10d)
4107,1,1,5.424019,2.01,4.7,488.0,0.29,0.04753,3528.0,0.4684,0.487,0.71,4.785,0.148,43.9662,13.564,80.066927,-4.2392481,Mini-Neptune,False,False,Nearby(<100pc),M-type(Red Dwarf),Short(1-10d)
4108,1,1,4.0378962,15.558,148.42,1438.0,0.09,0.04947,6100.0,1.186,1.0,6.9,4.19,-0.25,882.472,14.043,101.2772396,0.8152163,Super-Jupiter,False,False,Far(500-2kpc),F-type,Short(1-10d)
4109,1,1,6.51389,2.54,6.99,416.0,,0.0494,3459.0,0.37,0.38,,4.89,-0.01,109.237,16.414,179.8358421,-6.5178542,Mini-Neptune,False,False,Mid(100-500pc),M-type(Red Dwarf),Short(1-10d)
4110,1,1,225.7,9.32,63.566,,0.3,0.69,4730.0,0.85,0.76,8.5,4.46,0.28,28.8274,8.6,347.297417,-2.2611645,Gas Giant,False,False,Nearby(<100pc),K-type,Long(100-365d)
4111,1,1,,14.1,200.0,,,0.95,,,0.15,,,,6800.0,,268.742218,-29.7504635,Gas Giant,False,False,Distant(2k+pc),Unknown,Unknown
4112,1,2,1278.0,12.8,1808.4527,,0.411,,4891.0,5.4,1.72,2.1,3.2,0.14,146.6,7.65,172.1261621,43.9662025,Gas Giant,False,True,Mid(100-500pc),K-type,Very-Long(365d+)
4113,1,2,15.9407,3.14,10.0,407.2,0.0,0.0997,3707.0,0.516,0.519,,4.727,0.12,22.4751,11.403,20.4384281,-46.7147234,Mini-Neptune,False,True,Nearby(<100pc),K-type,Medium(10-100d)
4114,1,1,,12.6,2469.52672239,,,3.05,,,0.61,,,,6200.0,,267.158375,-23.9988,Gas Giant,False,False,Distant(2k+pc),Unknown,Unknown
4115,1,3,3.35992,1.28,1.48,600.0,0.0167,0.03197,3506.0,0.38,0.386,,4.872,-0.17,22.4793,12.603,68.4160804,-51.9573937,Super-Earth,False,True,Nearby(<100pc),M-type(Red Dwarf),Short(1-10d)
4116,1,1,10.24368,10.76062147,642.01338214,1056.0,0.385,0.093,5909.0,0.92,1.02,0.4,4.517,-0.15,204.429,11.566,243.8850212,-69.2170972,Gas Giant,False,False,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
4117,1,2,3.2696,3.16,10.1,,0.45,0.0444,5966.0,1.164285,1.095,5.6,4.43,0.14,24.0125,6.29,227.6847587,-61.4223747,Mini-Neptune,False,True,Nearby(<100pc),G-type(Sun-like),Short(1-10d)
4118,1,1,4.144965,1.57,3.09,1429.0,,0.0531,6209.0,1.45,1.16,,4.18,-0.08,360.76,11.784,130.1551381,13.0146799,Super-Earth,False,False,Mid(100-500pc),F-type,Short(1-10d)
4119,1,2,20.380799,8.00321222,38.45723725,966.0,0.0,0.1597,6380.0,1.577,1.307,6.6,4.159,-0.101,191.649,9.765,245.9079242,54.6900774,Gas Giant,False,True,Mid(100-500pc),F-type,Medium(10-100d)
4120,1,2,4.400028,2.95,9.01,848.0,,0.0497,4877.0,0.77,0.85,,4.59,0.26,280.518,13.847,131.2665588,13.5497322,Mini-Neptune,False,True,Mid(100-500pc),K-type,Short(1-10d)
4121,2,2,907.0,13.7,403.6441,,0.038,,4951.0,4.6,1.33,2.7,3.4,0.18,123.245,7.88,200.1646905,24.6484725,Gas Giant,False,True,Mid(100-500pc),K-type,Very-Long(365d+)
4122,1,1,141.241671,11.09691,613.4119,347.0,0.496,0.534,5830.0,0.96,1.01,3.2,4.473,0.16,921.986,14.616,293.2815266,45.3096572,Gas Giant,True,False,Far(500-2kpc),G-type(Sun-like),Long(100-365d)
4123,1,2,94.1022,11.25381662,415.40172795,338.0,0.364,0.3715,4870.0,0.771,0.771,1.1,4.551,0.08,184.986,13.236,54.3882661,10.0577464,Gas Giant,True,True,Mid(100-500pc),K-type,Medium(10-100d)
4124,1,2,30.033302,16.47720163,278.09985612,747.0,0.334,0.1992,5730.0,1.459,1.168,10.5,4.176,0.316,126.279,9.595,281.5761962,50.4924657,Super-Jupiter,False,True,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
4125,1,2,33.9239,3.89,14.44,,0.1,0.1964,5494.0,0.921637,0.875,,4.41,0.04,41.8316,8.39,46.9090081,-72.3219221,Neptune-like,False,True,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
4126,2,5,5.3135,1.21,1.93,,0.1,0.0529,5256.0,0.833609,0.7,,4.37,-0.11,35.9715,8.48,50.0139757,-28.7841175,Super-Earth,False,True,Nearby(<100pc),G-type(Sun-like),Short(1-10d)
